VERS;TÝP;TARÝH;KULLANICI;NOT
v2.0.19;Bilgi;20.10.2017 1409;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1409;Salih;2 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1424;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1424;Salih;3 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1440;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1455;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1510;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1510;Salih;4 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1525;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1540;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1540;Salih;2 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1556;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1603;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1611;Salih;çalýþtýrma baþladý
v2.0.19;Bilgi;20.10.2017 1626;Salih;çalýþtýrma baþladý
v2.0.20;Bilgi;20.10.2017 1631;Salih;çalýþtýrma baþladý
v2.0.20;Bilgi;20.10.2017 1631;Salih;10 sipariþ taþýndý
v2.0.19;Bilgi;20.10.2017 1713;Salih;çalýþtýrma baþladý
v2.0.20;Bilgi;21.10.2017 0907;Salih;çalýþtýrma baþladý
v2.0.20;Bilgi;21.10.2017 0907;Salih;çalýþtýrma baþladý
v2.0.20;Bilgi;21.10.2017 0907;Salih;1 sipariþ taþýndý
v2.0.20;Bilgi;21.10.2017 0908;Salih;çalýþtýrma baþladý
v2.0.21;Bilgi;21.10.2017 0910;Salih;çalýþtýrma baþladý
v2.0.22;Bilgi;21.10.2017 0911;Salih;çalýþtýrma baþladý
v2.0.23;Bilgi;21.10.2017 0914;Salih;çalýþtýrma baþladý
v2.0.23;Bilgi;21.10.2017 0924;Salih;çalýþtýrma baþladý
v2.0.24;Bilgi;21.10.2017 0927;Salih;çalýþtýrma baþladý
v2.0.25;Bilgi;21.10.2017 0949;Salih;çalýþtýrma baþladý
v2.0.25;Bilgi;21.10.2017 0949;Salih;15 sipariþ taþýndý
v2.0.26;Bilgi;21.10.2017 0953;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1003;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1013;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1023;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1033;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1044;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1054;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1104;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1114;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1114;Salih;1 sipariþ taþýndý
v2.0.26;Bilgi;21.10.2017 1124;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1134;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1144;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1155;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1205;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1205;Salih;1 sipariþ taþýndý
v2.0.26;Bilgi;21.10.2017 1215;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1215;Salih;2 sipariþ taþýndý
v2.0.26;Bilgi;21.10.2017 1225;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1235;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1245;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1256;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1306;Salih;çalýþtýrma baþladý
v2.0.26;Bilgi;21.10.2017 1316;Salih;çalýþtýrma baþladý
